PRODUCT_TYPE,PRODUCT_ID,PARENT_ID,SKU,PRODUCT_NAME,PRODUCT_SUMMARY,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,PRICE_RANGE,BRAND,VARIANT_COLOR,VARIANT_SIZE,VARIANT_FIT,Color,THUMBNAIL_IMAGES,FULL_SIZE_IMAGES,ACTIVE,PUBLISHED,COLLECTIONS,Gender,Details,Fabric,Measurements,Season,variantPosition
PARENT,BR1008,,BR1008,Arinya,Ankle boot - Stiletto heel,"Sharp as a dart - this smooth leather stiletto bootie is for the one who dares. Step into them and show your command. If you're up for the challenge, take out this leg-enhancing stiletto ankle boots with you on your next night out or add to your weekday rotation. Either way, these are real attention grabbers.",160,160,150-199.99,Aldo,Grey||#999999|Grey,,,Grey,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1008GRY/apparelProductCatalog_BR1008GRY_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1008GRY/apparelProductCatalog_BR1008GRY_1.jpg,TRUE,TRUE,,FEMALE,"Ankle boot, Pointy toe, Stiletto Heel, Zipper closure","Upper: Leather, Sole: Rubber",Heel Height: 4'',"Autumn, Winter",
PARENT,BR1009,,BR1009,Aurella,Ankle boot - Block heel,"Step up your fall style in our Aurella boot-- with its almond toe, block heel, and flattering ankle height, it dresses up pants or skirts but also pairs perfectly with dresses and tights. This staple ankle boot walks the line between elegance and urban edge.",110,110,100-149.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1009BLA/apparelProductCatalog_BR1009BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1009BLA/apparelProductCatalog_BR1009BLA_1.jpg,TRUE,TRUE,,FEMALE,"Ankle boot, Almond toe, Block heel, Zipper closure","Upper: Synthetic, Sole: Rubber","Heel Height: 3.75'', Shaft Height: 5''","Autumn, Winter",
PARENT,BR1010,,BR1010,Delarathien,Ankle boot - Block heel,"The runway comes your way via this platform ankle boot. As a 70s -inspired silhouette that's been stomping out all the trends, it's perched on a chunky heel and supported by thick platform sole. Turn heads and spotlight it with high hemlines and cropped trousers.",120,120,100-149.99,Aldo,Red||#ff0000|Red,,,Red,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1010RED/apparelProductCatalog_BR1010RED_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1010RED/apparelProductCatalog_BR1010RED_1.jpg,TRUE,TRUE,,FEMALE,"Ankle boot, Square toe, Block heel, Zipper closure","Upper: Synthetic, Sole: Synthetic","Heel Height: 4.75'', Platform Height: 1.75'', Shaft Height: 5.5''","Autumn, Winter",
PARENT,BR1011,,BR1011,Wocia,High heel shoe - Block heel,A modern block heel makes this classic ankle-strap high heel feel new and exciting.,59.99,59.99,50-99.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1011BLA/apparelProductCatalog_BR1011BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1011BLA/apparelProductCatalog_BR1011BLA_1.jpg,TRUE,TRUE,,FEMALE,"High heel shoe, Pointy toe, Block heel, Buckle closure","Upper: Textile, Lining: Synthetic, Sole: Rubber",Heel Height: 2.25'',"Summer, Spring",
PARENT,BR1020,,BR1020,Karla,High heel sandal,"As the weather changes, it’s time to adjust your wardrobe to accomodate warm weather trends. Cue in ‘90s inspired square toe slip on slingback sandals in fresh spring-inspired tones.",80,80,50-99.99,Aldo,Yellow||#ffe106|Yellow,,,Yellow,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1020YEL/apparelProductCatalog_BR1020YEL_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1020YEL/apparelProductCatalog_BR1020YEL_1.jpg,TRUE,TRUE,,FEMALE,"High heel, Square toe, Slip on","Upper: Synthetic, Sole: Rubber",Heel Height: 3.5'',"Summer, Spring",
PARENT,BR1032,,BR1032,Laevia,High heel sandal - Block heel,A feminine mid block heel featuring a knotted design. This simple ankle strap sandal is befitting of anything they are paired with.,90,90,50-99.99,Aldo,White||#ffffff|White,,,White,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1032WHI/apparelProductCatalog_BR1032WHI_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1032WHI/apparelProductCatalog_BR1032WHI_1.jpg,TRUE,TRUE,,FEMALE,"High heel sandal, Round toe, Block heel, Buckle closure","Upper: Leather, Sole: Synthetic",Heel Height: 3.25'',Summer,
PARENT,BR1012,,BR1012,Hafsia,,A spacious tote bag that can double down as a clean and steadfast weekend getaway bag of choice. Complete with a decorative piece and sleek exterior design.,65,65,50-99.99,Aldo,Pink||#cc379d|Pink,,,Pink,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1012PIN/apparelProductCatalog_BR1012PIN_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1012PIN/apparelProductCatalog_BR1012PIN_1.jpg,TRUE,TRUE,casual_woman,FEMALE,"Tote bag, Zipper closure, Interior compartments, Adjustable shoulder strap",Main: Synthetic,"Handle Drop Length: 4'', Strap Drop Length: 21'', Height: 10'', Width: 13.5'', Depth: 4.5''",,
PARENT,BR1013,,BR1013,Haigoni,Cat eye sunglasses,,16,16,0-49.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1013BLA/apparelProductCatalog_BR1013BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1013BLA/apparelProductCatalog_BR1013BLA_1.jpg,TRUE,TRUE,casual_woman|elegant_woman,FEMALE,Cat eye sunglasses,,,Summer,
PARENT,BR1014,,BR1014,Koumala,Square sunglasses,,16,16,0-49.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1014BLA/apparelProductCatalog_BR1014BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1014BLA/apparelProductCatalog_BR1014BLA_1.jpg,TRUE,TRUE,,FEMALE,Square sunglasses,,,Summer,
PARENT,BR1015,,BR1015,Adwudda,Ladies belts,"Sleek and modern belt for added definition. Pair with a flowing dress or classic ankle jeans. With this belt, the possibilities are endless.",20,20,0-49.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1015BLA/apparelProductCatalog_BR1015BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1015BLA/apparelProductCatalog_BR1015BLA_1.jpg,TRUE,TRUE,elegant_woman,FEMALE,Ladies belts,,,,
PARENT,BR1016,,BR1016,Fevrier,Ladies belts,,25,25,0-49.99,Aldo,Dark Beige||#a38550|Dark Beige,,,Dark Beige,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1016DBE/apparelProductCatalog_BR1016DBE_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1016DBE/apparelProductCatalog_BR1016DBE_1.jpg,TRUE,TRUE,casual_woman,FEMALE,Ladies belts,,,,
PARENT,BR1017,,BR1017,Silencer,Wallet,Stash your cash and cards in a stylish catch-all. This zip-around wallet slides nicely into any bag or coat pocket or looks great as a standalone statement.,25,25,0-49.99,Aldo,Dark Beige||#a38550|Dark Beige,,,Dark Beige,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1017BLA/apparelProductCatalog_BR1017BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1017BLA/apparelProductCatalog_BR1017BLA_1.jpg,TRUE,TRUE,casual_woman|elegant_woman,FEMALE,Wallet,,"Height: 5'', Width: 8.5'', Depth: 1''",,
PARENT,BR1018,,BR1018,Logorani,Backpack,The fastest way to go handsfree is by keeping all your essentials in this tailored backpack. The top closure features a tamper-proof foldover flap and drawstring for safety and security.,50,50,50-99.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1018BLA/apparelProductCatalog_BR1018BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1018BLA/apparelProductCatalog_BR1018BLA_1.jpg,TRUE,TRUE,,FEMALE,"Backpack, Magnetic snap closure, Interior compartment, Adjustable shoulder strap",Main: Synthetic,"Handle Drop Length: 4'', Strap Drop Length: 21'', Height: 10.5'', Width: 9.5'', Depth: 3.5''",,
PARENT,BR1019,,BR1019,Andressera,Crossbody bag,Compact loveliness. Trapunto quilting. Tasseled wrist chain. Say no more.,45,45,0-49.99,Aldo,Beige||#f5f5dc|Beige,,,Beige,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1019BLA/apparelProductCatalog_BR1019BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1019BLA/apparelProductCatalog_BR1019BLA_1.jpg,TRUE,TRUE,,FEMALE,"Crossbody bag, Zipper closure, Tassel ornament, Interior compartment, Optional shoulder strap",Main: Synthetic,"Strap Drop Length: 23'', Height: 6.5'', Width: 10'', Depth: 2.5''",,
PARENT,BR1021,,BR1021,Braunton,Low top sneaker,"Low top sneakers are the best option for casual daywear. Slip into this versatile sneaker for the perfect casual fix. This round toe lace-up is minimalist in construction, but delivers maximally on style. Choose BRAUNTON to level up your style game.",80,80,50-99.99,Aldo,White||#ffffff|White,,,White,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1021WHI/apparelProductCatalog_BR1021WHI_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1021WHI/apparelProductCatalog_BR1021WHI_1.jpg,TRUE,TRUE,,MALE,"Low top sneaker, Round toe, Laces closure","Upper: Synthetic, Sole: Rubber",,,
PARENT,BR1022,,BR1022,Agraulle,Monkstrap loafer,The men's Monk Strap shoe maintains its reputation as a statement shoe with this double buckle and square toe rendition. Wear your pair with a trend-focused look or keep it classic with your best suit.,125,125,100-149.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1022BLA/apparelProductCatalog_BR1022BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1022BLA/apparelProductCatalog_BR1022BLA_1.jpg,TRUE,TRUE,,MALE,"Monkstrap loafer, Dress Shoe, Square toe, Buckle closure","Upper: Leather, Sole: Rubber",,,
PARENT,BR1023,,BR1023,Kevin,Oxford shoe,"With brogue detailing, these handsome wingtip shoes uphold the standard for high class styling.",130,130,100-149.99,Aldo,Brown||#753e2f|Brown,,,Brown,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1023BRO/apparelProductCatalog_BR1023BRO_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1023BRO/apparelProductCatalog_BR1023BRO_1.jpg,TRUE,TRUE,stylish_men_outfit,MALE,"Oxford shoe, Dress Shoe, Round toe, Laces closure","Upper: Leather, Sole: Rubber",,,
PARENT,BR1024,,BR1024,Kedeini,Wallet,Soft and supple wallet featuring a removable card keeper for on the go options.,30,30,0-49.99,Aldo,Brown||#753e2f|Brown,,,Brown,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1024BLA/apparelProductCatalog_BR1024BLA_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1024BLA/apparelProductCatalog_BR1024BLA_1.jpg,TRUE,TRUE,,MALE,"Wallet, Interior compartment",Main: Synthetic,"Height: 3.5'', Width: 4.5'', Depth: 0.5''",,
PARENT,BR2001,,BR2001,Stessy,High heel shoe - Stiletto heel,"We thoughtfully expanded our collection to include wide width shoes and heels, so wide feet can experience the perfect fit. This product is available in feel-good widths.",85,85,50-99.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2001/apparelProductCatalog_BR2001_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2001/apparelProductCatalog_BR2001_2.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2001/apparelProductCatalog_BR2001_3.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2001/apparelProductCatalog_BR2001_4.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2001/apparelProductCatalog_BR2001_5.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2001/apparelProductCatalog_BR2001_6.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2001/apparelProductCatalog_BR2001_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2001/apparelProductCatalog_BR2001_2.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2001/apparelProductCatalog_BR2001_3.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2001/apparelProductCatalog_BR2001_4.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2001/apparelProductCatalog_BR2001_5.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2001/apparelProductCatalog_BR2001_6.jpg,TRUE,TRUE,elegant_woman,FEMALE,"High heel shoe, Pointy toe, Stiletto heel, Slip on","Upper: Synthetic, Lining: Synthetic, Sole: Rubber","Heel Height: 4.25'', Wide Fit","Summer, Spring",
PARENT,BR2002,,BR2002,Spakeman,Derby shoe,"Smooth, fine leather refines a classic lace-up completed with a smart round toe.",100,100,100-149.99,Aldo,Black||#000000|Black,,,Black,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR2002BLA7W/apparelProductCatalog_BR2002BLA7W_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR2002BLA7W/apparelProductCatalog_BR2002BLA7W_1.jpg,TRUE,TRUE,,MALE,"Derby shoe, Dress Shoe, Round toe, Laces closure","Upper: Leather, Lining: Synthetic, Sole: Rubber",,,
REGULAR,BR1000,,BR1000,Eowandra,Chandelier earrings,The perfect versatile accessory to add to your everyday wardrobe.,20,20,0-49.99,Aldo,Gold||#D4AF37|Gold,,,Gold,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1000/apparelProductCatalog_BR1000_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1000/apparelProductCatalog_BR1000_2.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1000/apparelProductCatalog_BR1000_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1000/apparelProductCatalog_BR1000_2.jpg,TRUE,TRUE,,FEMALE,Chandelier earrings,"Upper: Synthetic, Sole: Rubber",,"Spring, Summer, Autumn",
REGULAR,BR1001,,BR1001,Annelise,Layered necklace,The perfect versatile accessory to add to your everyday wardrobe.,18,18,0-49.99,Aldo,Gold||#D4AF37|Gold,,,Gold,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1001/apparelProductCatalog_BR1001_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1001/apparelProductCatalog_BR1001_2.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1001/apparelProductCatalog_BR1001_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1001/apparelProductCatalog_BR1001_2.jpg,TRUE,TRUE,,FEMALE,Layered necklace,,,"Spring, Summer, Autumn",
REGULAR,BR1002,,BR1002,Ardross,Bracelet,,30,30,0-49.99,Aldo,Silver||#C0C0C0|Silver,,,Silver,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1002/apparelProductCatalog_BR1002_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1002/apparelProductCatalog_BR1002_1.jpg,TRUE,TRUE,elegant_woman|casual_woman,FEMALE,Bracelet,,,,
REGULAR,BR1003,,BR1003,Laurelin,Wallet,Stash your cash and cards in a stylish catch-all. This zip-around wallet slips into any bag or withstands as a statement piece.,28,28,0-49.99,Aldo,Yellow||#ffe106|Yellow,,,Yellow,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1003/apparelProductCatalog_BR1003_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1003/apparelProductCatalog_BR1003_2.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1003/apparelProductCatalog_BR1003_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1003/apparelProductCatalog_BR1003_2.jpg,TRUE,TRUE,,FEMALE,"Wallet, Zipper closure Interior compartments",Main: Synthetic,"Height: 4.5'', Width: 7.5'', Depth: 1''","Spring, Summer, Autumn",
REGULAR,BR1004,,BR1004,Maila,Sneaker,The perfect wear-with-anything minimalist white sneaker. Step out in these classic cuties any day of the week.,80,80,50-99.99,Aldo,White||#ffffff|White,,,White,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1004/apparelProductCatalog_BR1004_1.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1004/apparelProductCatalog_BR1004_1.jpg,TRUE,TRUE,,FEMALE,"Sneaker, Round toe, Laces closure","Obermaterial: Synthetisch, Sohle: Gummi",Heel Height: 0.25'',"Summer, Spring",
REGULAR,BR1028,,BR1028,Elixir,Sneaker,Classic sneakers construction coupled with heart-shaped appliques and adorable design details. Show off your daring and creative side with these low top sneakers.,85,85,50-99.99,Aldo,White||#ffffff|White,,,White,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1028/apparelProductCatalog_BR1028_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1028/apparelProductCatalog_BR1028_2.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1028/apparelProductCatalog_BR1028_3.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1028/apparelProductCatalog_BR1028_4.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1028/apparelProductCatalog_BR1028_5.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1028/apparelProductCatalog_BR1028_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1028/apparelProductCatalog_BR1028_2.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1028/apparelProductCatalog_BR1028_3.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1028/apparelProductCatalog_BR1028_4.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1028/apparelProductCatalog_BR1028_5.jpg,TRUE,TRUE,casual_woman,FEMALE,"Sneaker, Round toe, Laces closure, Patches detail","Upper: Synthetic, Sole: Rubber",,Summer,
REGULAR,BR1029,,BR1029,Mirarevia,Sneaker,"A lace-up closure and round toe give signature style to a sporty, street-chic sneaker.",70,70,50-99.99,Aldo,White||#ffffff|White,,,White,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1029/apparelProductCatalog_BR1029_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1029/apparelProductCatalog_BR1029_2.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1029/apparelProductCatalog_BR1029_3.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/thumbnails/BR1029/apparelProductCatalog_BR1029_4.jpg,https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1029/apparelProductCatalog_BR1029_1.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1029/apparelProductCatalog_BR1029_2.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1029/apparelProductCatalog_BR1029_3.jpg|https://cx-upscale.s3-eu-west-1.amazonaws.com/fashion/products/pictures/BR1029/apparelProductCatalog_BR1029_4.jpg,TRUE,TRUE,,FEMALE,"Sneaker, Round toe, Laces closure","Upper: Synthetic, Sole: Rubber",,Summer,
